2026-03-27 19:33 <INFO>  [2m31s] 151.84s - Resetting the target for TidalVolume to 0.494509, the last target value was 0.496649 
2026-03-27 19:33 <INFO>  [2m35s] 155.8s - Resetting the target for TidalVolume to 0.492566, the last target value was 0.494509 
2026-03-27 19:33 <INFO>  [2m35s] 155.8s - Resetting the target for EndTidalCarbonDioxideFraction to 0.0401331, the last target value was 0.0400242 
2026-03-27 19:33 <INFO>  [2m39s] 159.76s - Resetting the target for TidalVolume to 0.490812, the last target value was 0.492566 
2026-03-27 19:33 <INFO>  [2m40s] Converging System... it took 1.89s to simulate the past 10s 
2026-03-27 19:33 <INFO>  [2m43s] 163.72s - Resetting the target for TidalVolume to 0.489243, the last target value was 0.490812 
2026-03-27 19:33 <INFO>  [2m43s] 163.72s - Resetting the target for EndTidalCarbonDioxideFraction to 0.0402368, the last target value was 0.0401331 
2026-03-27 19:33 <INFO>  [2m47s] 167.68s - Resetting the target for TidalVolume to 0.487852, the last target value was 0.489243 
2026-03-27 19:33 <INFO>  [2m50s] Converging System... it took 1.8s to simulate the past 10s 
2026-03-27 19:33 <INFO>  [2m51s] 171.64s - Resetting the target for TidalVolume to 0.486632, the last target value was 0.487852 
2026-03-27 19:33 <INFO>  [2m51s] 171.64s - Resetting the target for EndTidalCarbonDioxideFraction to 0.0403827, the last target value was 0.0402368 
2026-03-27 19:33 <INFO>  [2m59s] 179.56s - Resetting the target for TidalVolume to 0.484679, the last target value was 0.486632 
2026-03-27 19:33 <INFO>  [2m59s] 179.56s - Resetting the target for EndTidalCarbonDioxideFraction to 0.0405447, the last target value was 0.0403827 
2026-03-27 19:33 <INFO>  [3m0s] Converging System... it took 1.82s to simulate the past 10s 
2026-03-27 19:33 <INFO>  [3m7s] 187.48s - Resetting the target for TidalVolume to 0.483339, the last target value was 0.484679 
2026-03-27 19:33 <INFO>  [3m7s] 187.48s - Resetting the target for EndTidalCarbonDioxideFraction to 0.0407185, the last target value was 0.0405447 
2026-03-27 19:33 <INFO>  [3m10s] Converging System... it took 1.82s to simulate the past 10s 
2026-03-27 19:33 <INFO>  [3m12s] 192.9s - Resetting the target for SkinTemperatureTorso to 32.4431, the last target value was 32.7709 
2026-03-27 19:33 <INFO>  [3m15s] 195.1s - Resetting the target for SkinTemperatureLeftArm to 31.2688, the last target value was 31.5847 
2026-03-27 19:33 <INFO>  [3m15s] 195.1s - Resetting the target for SkinTemperatureRightArm to 31.2688, the last target value was 31.5847 
2026-03-27 19:33 <INFO>  [3m15s] 195.4s - Resetting the target for EndTidalCarbonDioxideFraction to 0.0409246, the last target value was 0.0407185 
2026-03-27 19:33 <INFO>  [3m20s] Converging System... it took 1.83s to simulate the past 10s 
2026-03-27 19:33 <INFO>  [3m20s] 200.78s - Resetting the target for SkinTemperatureHead to 31.1852, the last target value was 31.5002 
2026-03-27 19:33 <INFO>  [3m20s] 200.96s - Resetting the target for OxygenSaturation to 0.979202, the last target value was 0.981658 
2026-03-27 19:33 <INFO>  [3m23s] 203.32s - Resetting the target for EndTidalCarbonDioxideFraction to 0.0411141, the last target value was 0.0409246 
2026-03-27 19:33 <INFO>  [3m27s] 207.28s - Resetting the target for EndTidalCarbonDioxideFraction to 0.0412279, the last target value was 0.0411141 
2026-03-27 19:33 <INFO>  [3m30s] Converging System... it took 1.89s to simulate the past 10s 
2026-03-27 19:33 <INFO>  [3m31s] 211.24s - Resetting the target for EndTidalCarbonDioxideFraction to 0.0413384, the last target value was 0.0412279 
2026-03-27 19:33 <INFO>  [3m39s] 219.16s - Resetting the target for EndTidalCarbonDioxideFraction to 0.0415386, the last target value was 0.0413384 
2026-03-27 19:33 <INFO>  [3m40s] Converging System... it took 1.94s to simulate the past 10s 
2026-03-27 19:33 <INFO>  [3m43s] 223.12s - Resetting the target for EndTidalCarbonDioxideFraction to 0.0416563, the last target value was 0.0415386 
2026-03-27 19:33 <INFO>  [3m45s] 225.52s - Resetting the target for SkinTemperatureLeftLeg to 31.901, the last target value was 32.2233 
2026-03-27 19:33 <INFO>  [3m45s] 225.52s - Resetting the target for SkinTemperatureRightLeg to 31.901, the last target value was 32.2233 
2026-03-27 19:33 <INFO>  [3m50s] Converging System... it took 1.87s to simulate the past 10s 
2026-03-27 19:33 <INFO>  [3m51s] 231.04s - Resetting the target for TidalVolume to 0.484842, the last target value was 0.483339 
2026-03-27 19:33 <INFO>  [3m51s] 231.04s - Resetting the target for EndTidalCarbonDioxideFraction to 0.0418515, the last target value was 0.0416563 
2026-03-27 19:33 <INFO>  [3m55s] 235s - Resetting the target for EndTidalCarbonDioxideFraction to 0.0419646, the last target value was 0.0418515 
2026-03-27 19:33 <INFO>  [3m57s] [Event] 237.76(s),  The patient is shivering 
2026-03-27 19:33 <INFO>  [3m58s] 238.08s - Resetting the target for CoreTemperature to 36.7997, the last target value was 36.8919 
2026-03-27 19:33 <INFO>  [3m58s] 238.96s - Resetting the target for TidalVolume to 0.486312, the last target value was 0.484842 
2026-03-27 19:33 <INFO>  [3m58s] 238.96s - Resetting the target for EndTidalCarbonDioxideFraction to 0.0420716, the last target value was 0.0419646 
2026-03-27 19:33 <INFO>  [4m0s] Converging System... it took 1.86s to simulate the past 10s 
2026-03-27 19:33 <INFO>  [4m6s] 246.84s - Resetting the target for TidalVolume to 0.488238, the last target value was 0.486312 
2026-03-27 19:33 <INFO>  [4m6s] 246.84s - Resetting the target for EndTidalCarbonDioxideFraction to 0.04225, the last target value was 0.0420716 
2026-03-27 19:33 <INFO>  [4m10s] Converging System... it took 1.88s to simulate the past 10s 
2026-03-27 19:33 <INFO>  [4m14s] 254.68s - Resetting the target for TidalVolume to 0.490183, the last target value was 0.488238 
2026-03-27 19:33 <INFO>  [4m14s] 254.68s - Resetting the target for EndTidalCarbonDioxideFraction to 0.042408, the last target value was 0.04225 
2026-03-27 19:33 <INFO>  [4m19s] 259.9s - Resetting the target for SkinTemperatureTorso to 32.1186, the last target value was 32.4431 
2026-03-27 19:33 <INFO>  [4m20s] Converging System... it took 1.93s to simulate the past 10s 
2026-03-27 19:33 <INFO>  [4m22s] 262.48s - Resetting the target for TidalVolume to 0.492201, the last target value was 0.490183 
2026-03-27 19:33 <INFO>  [4m22s] 262.48s - Resetting the target for EndTidalCarbonDioxideFraction to 0.0425526, the last target value was 0.042408 
2026-03-27 19:33 <INFO>  [4m30s] 270.24s - Resetting the target for TidalVolume to 0.494295, the last target value was 0.492201 
2026-03-27 19:33 <INFO>  [4m30s] Converging System... it took 2.01s to simulate the past 10s 
2026-03-27 19:33 <INFO>  [4m34s] 274.1s - Resetting the target for EndTidalCarbonDioxideFraction to 0.0427102, the last target value was 0.0425526 
2026-03-27 19:33 <INFO>  [4m37s] 277.96s - Resetting the target for TidalVolume to 0.496466, the last target value was 0.494295 
2026-03-27 19:33 <INFO>  [4m40s] Converging System... it took 1.97s to simulate the past 10s 
2026-03-27 19:33 <INFO>  [4m45s] 285.64s - Resetting the target for TidalVolume to 0.498712, the last target value was 0.496466 
2026-03-27 19:33 <INFO>  [4m45s] 285.64s - Resetting the target for EndTidalCarbonDioxideFraction to 0.0428329, the last target value was 0.0427102 
2026-03-27 19:33 <INFO>  [4m50s] Converging System... it took 1.95s to simulate the past 10s 
2026-03-27 19:33 <INFO>  [4m53s] 293.28s - Resetting the target for TidalVolume to 0.501034, the last target value was 0.498712 
2026-03-27 19:33 <INFO>  [4m55s] 295.96s - Resetting the target for SkinTemperatureLeftArm to 30.9561, the last target value was 31.2688 
2026-03-27 19:33 <INFO>  [4m55s] 295.96s - Resetting the target for SkinTemperatureRightArm to 30.9561, the last target value was 31.2688 
2026-03-27 19:33 <INFO>  [5m0s] Converging System... it took 1.87s to simulate the past 10s 
2026-03-27 19:33 <INFO>  [5m0s] 300.88s - Resetting the target for TidalVolume to 0.503441, the last target value was 0.501034 
2026-03-27 19:33 <INFO>  [5m0s] 300.88s - Resetting the target for EndTidalCarbonDioxideFraction to 0.0429665, the last target value was 0.0428329 
2026-03-27 19:33 <INFO>  [5m5s] 305.88s - Resetting the target for SkinTemperatureHead to 30.8733, the last target value was 31.1852 
2026-03-27 19:33 <INFO>  [5m8s] 308.44s - Resetting the target for TidalVolume to 0.505967, the last target value was 0.503441 
2026-03-27 19:33 <INFO>  [5m10s] Converging System... it took 1.85s to simulate the past 10s 
2026-03-27 19:33 <INFO>  [5m19s] 319.74s - Resetting the target for TidalVolume to 0.508366, the last target value was 0.505967 
2026-03-27 19:33 <INFO>  [5m20s] Converging System... it took 1.89s to simulate the past 10s 
2026-03-27 19:33 <INFO>  [5m27s] 327.24s - Resetting the target for EndTidalCarbonDioxideFraction to 0.0430813, the last target value was 0.0429665 
2026-03-27 19:34 <INFO>  [5m29s] 329.78s - Resetting the target for CoreTemperature to 36.7077, the last target value was 36.7997 
2026-03-27 19:34 <INFO>  [5m30s] Converging System... it took 1.97s to simulate the past 10s 
2026-03-27 19:34 <INFO>  [5m30s] 330.98s - Resetting the target for TidalVolume to 0.510932, the last target value was 0.508366 
2026-03-27 19:34 <INFO>  [5m40s] Converging System... it took 1.88s to simulate the past 10s 
2026-03-27 19:34 <INFO>  [5m42s] 342.16s - Resetting the target for TidalVolume to 0.513644, the last target value was 0.510932 
2026-03-27 19:34 <INFO>  [5m46s] 346.14s - Resetting the target for SkinTemperatureLeftLeg to 31.582, the last target value was 31.901 
